,set,mu,qs,mu_max,X_max,Yxs,m_s,rmse
37,37,1,3,0.24013965993491596,17.09559265288516,0.3178948264341134,0.9148366547018539,22.507
95,95,1,3,0.4874236148462534,18.13755321909872,0.4264479098608762,0.8021685580849217,23.033
32,32,1,3,0.39981397654210094,15.569691516190591,0.43716570857166537,0.9861086517717492,23.038
79,79,1,3,0.20103112755958946,16.259335031916727,0.33560413987384546,1.142524857185419,23.284
51,51,1,3,0.21223722047675445,24.75968969259182,0.48990743004009474,0.7380246104390216,23.373
64,64,1,3,0.281265652761422,16.011725092526618,0.45900893857862424,1.0736788207427508,23.43
34,34,1,3,0.4798568171841957,18.580883108112978,0.47990671960465026,0.8324260354700977,23.633
69,69,1,3,0.41930425070171107,15.474241044496855,0.37975937544490207,1.059054083069591,23.645
20,20,1,3,0.3043324342135175,22.06206749161856,0.326484622494284,0.6874386697702433,23.68
7,7,1,3,0.496520858062438,16.367056546525767,0.3467795337894667,0.9471745296827191,23.693
18,18,1,3,0.2306955203828142,17.738618259145817,0.4683644098575265,1.1048087502179196,23.79
1,1,1,3,0.3069158743508092,20.937057814562166,0.36011729067636644,0.7852076737792383,23.867
63,63,1,3,0.4344240837324036,24.157504796254457,0.3100735919125096,0.5693400844001836,23.916
41,41,1,3,0.2880068312131632,22.74815432569852,0.4234481519080738,0.7659531681571594,24.109
31,31,1,3,0.3431761072266897,19.194411142406096,0.45598858858615543,0.9549857429747469,24.198
16,16,1,3,0.3159227080865127,18.691229403493942,0.3189160723726688,0.9643863112784214,24.215
74,74,1,3,0.41248383246340575,24.258345786848338,0.4382491768449358,0.6408487204748816,24.254
91,91,1,3,0.4275909002203109,19.866208887549163,0.38346008552816746,0.8703226680677136,24.332
15,15,1,3,0.4713900900818515,21.410137583603923,0.3681873100144728,0.7517424822670241,24.337
87,87,1,3,0.4618983251597569,21.776015598297334,0.32831681176126654,0.7236960754877446,24.371
81,81,1,3,0.332545066694086,15.859316736986207,0.4842847055506755,1.2638447608789138,24.377
75,75,1,3,0.3107514514831973,21.037510626994855,0.32061993065984595,0.8501402030001083,24.39
59,59,1,3,0.3498987293061019,24.423998304948633,0.33970346132209944,0.6748521320166312,24.54
2,2,1,3,0.21011222611031685,21.511869776329206,0.40708596534223856,1.090679223498152,24.692
88,88,1,3,0.4012679107201279,19.021393998551034,0.35332380234008964,1.0226490937793236,24.872
82,82,1,3,0.2572167679124316,19.608509105738563,0.3673719233268237,1.121768048164172,24.968
19,19,1,3,0.3778174757018201,16.142078572113103,0.49067016442189887,1.343718181767535,25.022
29,29,1,3,0.3652075930947779,20.20781979258811,0.4951215305845573,1.0258044555481733,25.023
