,set,Yxs,qs_max,Ks,m_s,lag,rmse
99,99,0.3414852982652585,0.8168895149603972,0.9905919499214629,0.004864773731834144,0.5206820092171295,7.925
66,66,0.4378474276639981,1.150193988891393,0.41512258584622336,0.006870568365939878,0.6866653228142202,8.052
24,24,0.4752620881042463,1.3531255246794216,0.08152397574533683,0.007502245904892611,0.7440492898005825,8.066
60,60,0.3208806531467904,1.376668776342614,0.5851685256638681,0.0066031529060581705,0.8066557653317458,8.133
54,54,0.4182694491766713,1.0080419317286096,0.948959661577269,0.0006080399732052093,0.11991262879989127,8.173
49,49,0.36087286316931777,0.6098834191116529,0.488834052238502,0.00019087673453458646,0.46067676437515154,8.272
16,16,0.41734545736352613,1.0657981294941696,0.28398059381584645,0.004605837036766657,0.7141597648357413,8.289
38,38,0.3396995955460596,1.440268569539487,0.5708147730474793,0.008250310307337272,0.9156461695513928,8.444
51,51,0.4257704766313647,1.367678716888276,0.8072312583333884,0.0027046428462150864,0.8513966632401962,8.51
72,72,0.32353581359997563,0.6151650395966791,0.9784356980383622,0.009259488404266002,0.5057487910560915,8.514
83,83,0.49450627294841853,1.0492894893172955,0.0646720272996187,0.006170819641926923,0.7627447560892238,8.525
63,63,0.3094773242659132,0.7419949968684183,0.9119619557520352,0.0033741663949092633,0.6005586332492591,8.552
28,28,0.3581941485250071,0.7646923687862197,0.7586093898088686,0.007633343190530527,0.6442685087232857,8.582
82,82,0.46625752359597333,1.465347483051107,0.5008253847614369,0.0008546200494771103,0.8913967233057863,8.61
76,76,0.3864656339813486,1.4902323898224012,0.01587957422725557,0.0016289514097371654,0.9821197445867585,8.694
47,47,0.44472270956502624,1.2679634376283533,0.5989481534421036,0.0038468505040550995,0.8832749935322428,8.698
69,69,0.37291028052724334,1.384558662147882,0.26754619265371893,0.001072857337504957,0.9504533215221417,8.702
88,88,0.3461834713513139,0.8342329631095324,0.256910460239151,0.00074357344728995,0.7342965104028432,8.765
20,20,0.40482466939294537,0.8928896162549507,0.45442654953166706,0.0030817583185525762,0.7709473840527712,8.792
64,64,0.4123251423263324,0.7787032374093693,0.369076579653672,0.007392981220660562,0.7230556824977455,8.796
73,73,0.3131186155074762,0.7814173118584947,0.29370169434617277,0.00835643403048944,0.7515438935047805,8.866
59,59,0.4842205440496808,0.5874967459534229,0.7481807295515127,9.390093145913478e-05,0.5833987778064922,8.876
89,89,0.35402433245632614,0.8263235767169396,0.3464165479910942,0.006996564225057793,0.7946016530047623,8.917
14,14,0.42786670830436857,0.670109074160924,0.13358191691191848,0.007906618871501186,0.7073556626990258,8.957
39,39,0.45402637747673347,0.6552764983486439,0.189731025758006,0.002161994039909464,0.6802700543604471,8.971
50,50,0.38803443765161905,0.5401441759135027,0.056367804870152596,0.004329119354810885,0.5954349397532295,9.006
