,set,Yxs,Yc02s,qs_max,Ks,m_s,lag,rmse
88,88,0.4593414092429663,0.0005481685396317108,1.1250759110197206,0.6813880690169875,0.009285376162109686,0.19104694290831611,4.333
13,13,0.459718563809535,0.0005269440975568792,1.1256582921215834,0.6810307879019297,0.009383862599377256,0.19120330998555002,4.333
93,93,0.4593117499059104,0.0022129167979524408,1.1255273093780895,0.6814990937730337,0.009353951411715751,0.19112704525439897,4.333
86,86,0.45974978107429165,0.0004163918645667258,1.1257888796645616,0.6811353528793976,0.009513925535910137,0.1912906911054754,4.333
59,59,0.45953275306826213,0.00164128986743566,1.1256187991390652,0.6814511924542624,0.009267682371882165,0.1911100307657769,4.333
71,71,0.45922071503383616,0.00204546666314531,1.1257994913744,0.6814790241570023,0.00948612912492032,0.19128197654056203,4.333
33,33,0.4595625499592255,0.0007806745664679192,1.125215945996941,0.6814902837942439,0.009242404574706188,0.1910397436692284,4.333
10,10,0.4592106311678621,0.0009075365130065644,1.1254520478742762,0.6812725039845504,0.009471273171523124,0.1912269008307543,4.333
85,85,0.45905633086194747,0.0014973980679096315,1.1250155881791069,0.6810662807762906,0.009467225301753129,0.19109269708988652,4.334
72,72,0.45955905789822243,0.0020840472524937905,1.1255080845763241,0.6813475842566195,0.009279509046806118,0.1910486694297376,4.334
96,96,0.45993491371587375,0.0004518526027801219,1.125625439794429,0.6814437139174323,0.009553496246680442,0.1912589882983112,4.334
4,4,0.4594002198809126,0.0014527635261620646,1.1252899266767735,0.6811036929273674,0.009388657424593588,0.19106375970214326,4.334
55,55,0.45910409936869007,0.0013173002192148609,1.1259924169071738,0.6810513696623591,0.009368141654365432,0.19113587654936726,4.334
65,65,0.4592961878670573,0.0006978363662769431,1.125485638579414,0.6810430957594467,0.00954782771282235,0.1911608147922925,4.335
5,5,0.4599863571252757,0.0015306894215658838,1.125837918556343,0.6814659747553916,0.009303535220780926,0.1910303779767635,4.335
53,53,0.4594394762950971,0.000983789472117737,1.1253094018447418,0.681398985532843,0.009564024015370508,0.19111842165158396,4.335
99,99,0.459693507522959,0.0020748658558167286,1.1259584300267036,0.6810056707507014,0.009245653618783219,0.1910051944727168,4.335
83,83,0.45937390606305256,0.0012616156166556471,1.1254711540303055,0.6812609578626978,0.009526938532628348,0.19114496747921864,4.335
29,29,0.4591868548110912,0.0021418392861311726,1.1252440535945167,0.6810702151179083,0.009482879116070906,0.19106713021426308,4.335
23,23,0.45900580449873724,0.0022748859541085976,1.1256794686846345,0.6813356231249611,0.009573228213698451,0.19118530055545085,4.335
