,set,mu,qs,mu_max,X_max,Ks,Ks_qs,Ki,Yxs,qs_max,m_s,lag,rmse
1139,71,0,3,0.22416289026236594,22.861348318611135,1.882773198091111,0.06857020348254239,6.811617524736422,0.4399801625051138,1.4987565772483682,0.0978065747651699,0.019477806142708817,520595.418
1537,96,0,1,0.14517618233385732,22.92865738254659,7.925164066969916,0.06428980716201681,7.587176704508888,0.43300765134093083,1.4640069390013197,0.14594421125718166,0.01701156880197389,572935.484
1137,71,0,1,0.22416289026236594,22.861348318611135,1.882773198091111,0.06857020348254239,6.811617524736422,0.4399801625051138,1.4987565772483682,0.0978065747651699,0.019477806142708817,652058.26
656,41,0,0,0.4829288428625142,23.95382406319701,0.8051141689923138,0.03674321347400562,7.080204830323364,0.47301394239920846,1.3599309244257378,0.07070223716976827,0.0018042869939691342,674672.41
659,41,0,3,0.4829288428625142,23.95382406319701,0.8051141689923138,0.03674321347400562,7.080204830323364,0.47301394239920846,1.3599309244257378,0.07070223716976827,0.0018042869939691342,678102.814
112,7,0,0,0.17221972015635462,18.060220817627684,4.734389692094034,0.015045593066366669,7.542106080879416,0.48691208233204825,1.2318817948568666,0.14825150716923519,0.014619790417622146,718821.338
64,4,0,0,0.04479966982078715,21.787937138268035,1.144903843001896,0.027608648325271858,7.65613604385929,0.4637908545457518,1.3147837284045836,0.08906688456987671,0.013292154565477495,742879.526
115,7,0,3,0.17221972015635462,18.060220817627684,4.734389692094034,0.015045593066366669,7.542106080879416,0.48691208233204825,1.2318817948568666,0.14825150716923519,0.014619790417622146,754539.208
67,4,0,3,0.04479966982078715,21.787937138268035,1.144903843001896,0.027608648325271858,7.65613604385929,0.4637908545457518,1.3147837284045836,0.08906688456987671,0.013292154565477495,780365.016
1200,75,0,0,0.5266954082134964,18.894763381538322,0.785063348872293,0.035261311703830095,6.37994338345725,0.4832636231832342,1.3697739942263898,0.1375096023830249,0.007812081147741371,805624.28
1203,75,0,3,0.5266954082134964,18.894763381538322,0.785063348872293,0.035261311703830095,6.37994338345725,0.4832636231832342,1.3697739942263898,0.1375096023830249,0.007812081147741371,828164.288
657,41,0,1,0.4829288428625142,23.95382406319701,0.8051141689923138,0.03674321347400562,7.080204830323364,0.47301394239920846,1.3599309244257378,0.07070223716976827,0.0018042869939691342,957147.929
113,7,0,1,0.17221972015635462,18.060220817627684,4.734389692094034,0.015045593066366669,7.542106080879416,0.48691208233204825,1.2318817948568666,0.14825150716923519,0.014619790417622146,993331.839
65,4,0,1,0.04479966982078715,21.787937138268035,1.144903843001896,0.027608648325271858,7.65613604385929,0.4637908545457518,1.3147837284045836,0.08906688456987671,0.013292154565477495,1035309.342
272,17,0,0,0.49410274044820085,21.292770564129782,3.3012440293307215,0.04367886200668577,6.871068765780696,0.4483722213277301,1.447772678066867,0.14484045243865187,0.00948926278886367,1050409.084
275,17,0,3,0.49410274044820085,21.292770564129782,3.3012440293307215,0.04367886200668577,6.871068765780696,0.4483722213277301,1.447772678066867,0.14484045243865187,0.00948926278886367,1081326.924
