,Acetic acid [g/L],Air feed [mL/min],Biomass [g/L],CER [%/L/h],Cum. Acid feed [L/min],Cum. Base feed [L/min],DO2 [%],DO2 [%]- smoothed,DateTime,Ethanol [g/L],Feed total [L/min],Glucose [g/L],Glucose feed [L/min],Glucose feed [g/h],Glycerol [g/L],Lactic acid [g/L],OUR [%/L/h],Offgas CO2 [%],Offgas CO2 [mL/min],Offgas N2 [%],Offgas N2 [mL/min],Offgas O2 [%],Offgas O2 [mL/min],Pump - Acid [L/min],Pump - Base [L/min],RQ,Stirrer [rpm],Stirring [rpm]- smoothed,T [°C]- smoothed,Temperature [°C],Volume [L],Yxs 1.1 [gx/gs],Yxs 1.2 [gx/gs],Yxs 2.1 [gx/gs],Yxs 2.2 [gx/gs],mu 1 [1/h],mu 2 [1/h],pH Value (pH),time [h]
865,,0.1,,0.02259170190557089,0.07180833333333331,0.07855258333333333,33.165,32.091630519122106,2023-06-01 00:40:00,,0.0007084391037224431,,0.0003403333333333334,7.147000000000001,,,-0.024701286539617694,0.3924929705120203,0.0003924929705120203,77.381696686571,0.07738169668657101,20.792472065740597,0.020792472065740596,0.0,0.0005126666666666667,0.914596163618308,423.12583333333333,425.64505668835307,29.84097995956624,29.839166666666667,1.0848767713993932,,,,,,,6.95,14.42
866,,0.1,,0.02255654673465276,0.07180833333333331,0.07906516666666666,28.69888888888889,31.752356356098783,2023-06-01 00:41:00,,0.0007091891037224432,,0.00034116666666666665,7.164499999999999,,,-0.024618333707816655,0.39241855110839247,0.0003924185511083925,77.38109908565447,0.07738109908565448,20.793250760724167,0.020793250760724167,0.0,0.0005125833333333334,0.9162499380488432,423.36583333333334,425.4171343528511,29.840881963609615,29.84,1.0855859605031157,,,,,,,6.966666666666667,14.43
867,,0.1,,0.022518133421481863,0.07180833333333331,0.07906516666666666,31.959999999999997,31.7731207204889,2023-06-01 00:42:00,,0.00019752243705577636,,0.0003420833333333333,7.183749999999999,,,-0.02464832422247077,0.392369984978479,0.00039236998497847904,77.38179956917368,0.07738179956917368,20.792175450427685,0.020792175450427684,0.0,0.0,0.913576647979707,427.9983333333333,425.6752542508993,29.84187710058199,29.85083333333333,1.0857834829401714,,,,,,,6.983750000000001,14.45
868,,0.1,,0.02248863844212807,0.07180833333333331,0.07906516666666666,35.6475,32.16055864844001,2023-06-01 00:43:00,,0.00019843910372244306,,0.000343,7.202999999999999,,,-0.024636195277874987,0.392460151427021,0.000392460151427021,77.37897347712664,0.07737897347712665,20.791760016178895,0.020791760016178898,0.0,0.0,0.9128292006324705,427.1583333333333,425.8235621591426,29.844856057190455,29.871666666666666,1.0859819220438938,,,,,,,6.983333333333333,14.47
869,,0.1,,0.02242818976454778,0.07180833333333331,0.07906516666666666,30.240000000000002,31.968502783596012,2023-06-01 00:44:00,,0.00019934819463153397,,0.0003439090909090909,7.222090909090909,,,-0.02451882915694928,0.3918185577751389,0.00039181855777513895,77.3788913603771,0.0773788913603771,20.793267280826125,0.020793267280826123,0.0,0.0,0.9147333105092844,424.33090909090913,425.67429685231923,29.847279542380498,29.86909090909091,1.0861812702385254,,,,,,,6.97625,14.48
870,,0.1,,0.022366350425850893,0.07180833333333331,0.07906516666666666,33.6,32.13165250523641,2023-06-01 00:45:00,,0.00020027243705577645,,0.0003448333333333334,7.241500000000001,,,-0.02449581221653181,0.3913967835328354,0.0003913967835328355,77.3818326150229,0.0773818326150229,20.793026016602912,0.020793026016602913,0.0,0.0,0.9130683329926992,425.75333333333333,425.68220050042066,29.85155158814245,29.89,1.0863815426755812,,,,,,,6.9655555555555555,14.5
871,,0.1,,0.022342346870219586,0.07180833333333331,0.079578,32.78777777777778,32.19726503249054,2023-06-01 00:46:00,,0.0007139391037224432,,0.0003456666666666667,7.259,,,-0.024454392836275797,0.3917357226214302,0.0003917357226214302,77.38146391368879,0.07738146391368879,20.79289363679595,0.02079289363679595,0.0,0.0005128333333333333,0.9136332690737188,429.6191666666667,426.07589711704526,29.8503964293282,29.84,1.0870954817793037,,,,,,,6.95375,14.52
872,,0.1,,0.022350163067062754,0.07180833333333331,0.08026225,30.94,32.07153852924149,2023-06-01 00:47:00,,0.0008863254673588067,,0.0003466363636363637,7.279363636363637,,,-0.02434926000435284,0.3923898982883933,0.0003923898982883933,77.37979670873959,0.0773797967087396,20.793974842269144,0.020793974842269143,0.0,0.00068425,0.9178990681058598,418.7,425.33830740534074,29.851629513668108,29.862727272727273,1.0879818072466625,,,,,,,6.954444444444444,14.53
873,,0.1,,0.022359206386513755,0.07180833333333331,0.08026225,32.156666666666666,32.080051342984,2023-06-01 00:48:00,,0.00020285577038910973,,0.00034741666666666666,7.29575,,,-0.024366037319686593,0.3930853810231776,0.00039308538102317763,77.38002733035147,0.07738002733035147,20.793107506446418,0.02079310750644642,0.0,0.0,0.9176381901232904,428.8333333333333,425.68780999814004,29.852049895634632,29.855833333333333,1.0881846630170515,,,,,,,6.983333333333333,14.55
874,,0.1,,0.02230972195694432,0.07180833333333331,0.08026225,30.824444444444445,31.954490653130044,2023-06-01 00:49:00,,0.00020385577038910976,,0.0003484166666666667,7.31675,,,-0.0243026565435402,0.3928536955557911,0.0003928536955557911,77.38023373242024,0.07738023373242024,20.793509920987372,0.02079350992098737,0.0,0.0,0.9179951959973851,429.8225,426.101278998326,29.852344906071167,29.855,1.0883885187874407,,,,,,,6.995,14.57
875,,0.1,,0.022268536899668595,0.07180833333333331,0.08026225,33.48,32.107041587817044,2023-06-01 00:50:00,,0.00020462092190426127,,0.0003491818181818182,7.332818181818182,,,-0.0242987850597272,0.3925093938527969,0.00039250939385279687,77.37982039179833,0.07737982039179833,20.793234356756514,0.020793234356756517,0.0,0.0,0.9164465155328471,422.44545454545454,425.73569655303885,29.852746779100414,29.85636363636364,1.088593139709345,,,,,,,6.9911111111111115,14.58
876,,0.1,,0.02218164350772171,0.07180833333333331,0.08026225,29.47666666666667,31.844004095702008,2023-06-01 00:51:00,,0.0002055224370557764,,0.0003500833333333333,7.35175,,,-0.02428469031507158,0.3916797435988572,0.00039167974359885727,77.37762873961658,0.07737762873961658,20.792856471888708,0.02079285647188871,0.0,0.0,0.9134003036454339,423.06583333333333,425.46871023106826,29.8510554345237,29.835833333333337,1.0887986621464008,,,,,,,6.983750000000001,14.6
877,,0.1,,0.02208422075424558,0.07180833333333331,0.08026225,31.74125,31.833728686131803,2023-06-01 00:52:00,,0.00020643910372244304,,0.00035099999999999997,7.3709999999999996,,,-0.02443892648610567,0.39067862531316305,0.00039067862531316305,77.38495731353984,0.07738495731353985,20.78979872118982,0.020789798721189818,0.0,0.0,0.9036493794766797,428.68333333333334,425.79017254129474,29.849949891071326,29.84,1.0890051012501232,,,,,,,6.973333333333333,14.62
878,,0.1,,0.022048769458380902,0.07180833333333331,0.08026225,32.107777777777784,31.8611335952964,2023-06-01 00:53:00,,0.00020735577038910973,,0.00035191666666666666,7.39025,,,-0.02436174506263602,0.3904211959066795,0.0003904211959066795,77.38542468719818,0.07738542468719818,20.790688341481943,0.020790688341481945,0.0,0.0,0.9050570639209847,424.2183333333333,425.6329886204986,29.849621568630862,29.846666666666668,1.0892124570205122,,,,,,,6.9575,14.63
879,,0.1,,0.022029073461843095,0.07180833333333331,0.08128808333333333,30.572499999999998,31.73227023576676,2023-06-01 00:54:00,,0.0012341057703891098,,0.0003528333333333333,7.4094999999999995,,,-0.024109204741448228,0.3909855014435353,0.0003909855014435353,77.38157840803456,0.07738157840803456,20.79375152961944,0.020793751529619438,0.0,0.0010258333333333335,0.9137204523370694,424.2008333333333,425.4897730917821,29.849326078434437,29.846666666666664,1.0904465627909012,,,,,,,6.9511111111111115,14.65
880,,0.1,,0.022039731871742203,0.07180833333333331,0.08128808333333333,30.81666666666667,31.64070987885675,2023-06-01 00:55:00,,0.00020910577038910975,,0.0003536666666666667,7.4270000000000005,,,-0.024110437254972722,0.39170404166525463,0.0003917040416652547,77.38174029580925,0.07738174029580926,20.793132056560363,0.020793132056560366,0.0,0.0,0.914115809625002,421.0725,425.04804578260394,29.848310137257656,29.839166666666667,1.0906556685612905,,,,,,,6.974444444444445,14.67
881,,0.1,,0.022016625608972627,0.07180833333333331,0.08128808333333333,29.508888888888887,31.427527779859965,2023-06-01 00:56:00,,0.00021002243705577634,,0.00035458333333333327,7.446249999999998,,,-0.024054649708851104,0.391642349020861,0.000391642349020861,77.3810029491299,0.07738100294912989,20.79368813576268,0.020793688135762677,0.0,0.0,0.9152752534522018,424.2,424.9632412043435,29.846645790198554,29.831666666666667,1.0908656909983463,,,,,,,6.985,14.68
882,,0.1,,0.02193895992564955,0.07180833333333331,0.08128808333333333,31.285,31.413275001873973,2023-06-01 00:57:00,,0.00021085577038910976,,0.0003554166666666667,7.463750000000001,,,-0.024066006565070942,0.39094526861780476,0.0003909452686178048,77.38238274033246,0.07738238274033246,20.792906617982066,0.020792906617982068,0.0,0.0,0.911616136492352,428.4141666666667,425.3083337505758,29.8474812111787,29.855,1.0910765467687353,,,,,,,6.981111111111112,14.7
883,,0.1,,0.021881150221663273,0.07180833333333331,0.08128808333333333,32.76444444444444,31.548391946131023,2023-06-01 00:58:00,,0.00021177243705577635,,0.0003563333333333333,7.483,,,-0.02400652083205248,0.390563758971759,0.000390563758971759,77.37979980929185,0.07737979980929185,20.793262004927197,0.020793262004927197,0.0,0.0,0.9114669457828516,419.285,424.7060003755183,29.848316423394163,29.855833333333333,1.0912883192057912,,,,,,,6.9712499999999995,14.72
884,,0.1,,0.02181500197184884,0.07180833333333331,0.08128808333333333,30.7175,31.465302751517918,2023-06-01 00:59:00,,0.00021262092190426124,,0.0003571818181818182,7.500818181818182,,,-0.02383620208388258,0.38980755620168134,0.0003898075562016814,77.37871129725677,0.07737871129725678,20.795663190674883,0.02079566319067488,0.0,0.0,0.9152046074739222,430.12454545454545,425.247854883421,29.848575690145655,29.85090909090909,1.0915009401276954,,,,,,,6.961111111111111,14.73
885,,0.1,,0.021766204415248645,0.07180833333333331,0.081972,33.31444444444444,31.65021692081057,2023-06-01 01:00:00,,0.000897439103722443,,0.0003580833333333333,7.519749999999999,,,-0.02374209733861873,0.38978627925003756,0.0003897862792500376,77.3795709302351,0.0773795709302351,20.796343618822917,0.02079634361882292,0.0,0.0006839166666666668,0.9167768165049129,425.43666666666667,425.2667360617456,29.852384787797757,29.886666666666667,1.0923983792314178,,,,,,,6.95125,14.75
886,,0.1,,0.021783287294309946,0.07180833333333331,0.081972,32.5175,31.736945228729514,2023-06-01 01:01:00,,0.000214439103722443,,0.00035899999999999994,7.538999999999999,,,-0.023742050279188687,0.39060644757404206,0.00039060644757404206,77.37888410014399,0.07737888410014399,20.79575046416257,0.02079575046416257,0.0,0.0,0.9174981536200472,428.9136363636364,425.6314260919347,29.85414630901798,29.87,1.0926128183351402,,,,,,,6.955555555555556,14.77
887,,0.1,,0.021836270098066164,0.07180833333333331,0.081972,31.425555555555555,31.705806261412118,2023-06-01 01:02:00,,0.0002153557703891097,,0.00035991666666666664,7.55825,,,-0.023779126815650326,0.39176956812623903,0.00039176956812623907,77.37889535876384,0.07737889535876384,20.79481662528996,0.02079481662528996,0.0,0.0,0.9182957081373794,432.75083333333333,426.3433668160746,29.85673167811618,29.88,1.0928281741055295,,,,,,,6.961111111111111,14.78
888,,0.1,,0.021896715352893364,0.07180833333333331,0.081972,32.52666666666667,31.787892301937568,2023-06-01 01:03:00,,0.00021627243705577635,,0.0003608333333333333,7.5775,,,-0.02389203385549361,0.39329455456504364,0.00039329455456504366,77.38055477436671,0.07738055477436671,20.792394278592926,0.02079239427859293,0.0,0.0,0.916486034020019,425.0516666666667,426.2141968011338,29.859391843637894,29.883333333333336,1.093044446542585,,,,,,,6.955,14.8
889,,0.1,,0.021928577054190296,0.07180833333333331,0.08248458333333333,31.5325,31.76235307174381,2023-06-01 01:04:00,,0.0007296588006921402,,0.0003616363636363637,7.594363636363637,,,-0.02396402005755319,0.39452648695645665,0.0003945264869564567,77.38087566949919,0.0773808756694992,20.790446742888395,0.020790446742888394,0.0,0.0005125833333333334,0.915062539654262,424.35727272727274,426.02850439374777,29.858270841092292,29.848181818181818,1.0937741053432772,,,,,,,6.95,14.82
890,,0.1,,0.021956443661191337,0.07180833333333331,0.08248458333333333,30.59777777777778,31.645895542347205,2023-06-01 01:05:00,,0.00021802243705577637,,0.0003625833333333333,7.614249999999999,,,-0.023957565813299636,0.3952893422604251,0.00039528934226042514,77.37891605425227,0.07737891605425228,20.79021186146393,0.02079021186146393,0.0,0.0,0.9164722256132796,424.2483333333333,425.8504872877063,29.85794375698306,29.855,1.093992127780333,,,,,,,6.952500000000001,14.83
891,,0.1,,0.02195709580176042,0.07180833333333331,0.08248458333333333,33.53375,31.834680988112485,2023-06-01 01:06:00,,0.00021885577038910974,,0.0003634166666666667,7.63175,,,-0.02402190778655118,0.3958517010662379,0.00039585170106623796,77.37790996188424,0.07737790996188425,20.788564316557355,0.020788564316557356,0.0,0.0,0.9140446294633285,428.2033333333334,426.085771892269,29.857482714618087,29.853333333333335,1.094210983550722,,,,,,,6.952222222222222,14.85
892,,0.1,,0.021915560600792208,0.07180833333333331,0.08316825,30.42666666666667,31.693879555967904,2023-06-01 01:07:00,,0.0009034391037224432,,0.0003643333333333333,7.651,,,-0.024001743281058443,0.39595081585077935,0.00039595081585077935,77.3813443953001,0.07738134439530012,20.7880442680854,0.0207880442680854,0.0,0.0006836666666666667,0.9130820350906512,429.3008333333333,426.40727803637543,29.857901109822944,29.861666666666668,1.0951144226544447,,,,,,,6.95125,14.87
893,,0.1,,0.021921061903560066,0.07180833333333331,0.08316825,33.8225,31.906741600371113,2023-06-01 01:08:00,,0.00022060577038910976,,0.0003651666666666667,7.6685,,,-0.023937863503985964,0.3963524200907756,0.0003963524200907756,77.38157303102558,0.07738157303102558,20.78874378306844,0.02078874378306844,0.0,0.0,0.9157484710325099,433.41909090909087,427.10845932364697,29.858929180658834,29.86818181818182,1.0953350284248338,,,,,,,6.96,14.88
894,,0.1,,0.021938255035730787,0.07180833333333331,0.08316825,32.67111111111112,31.983178551445114,2023-06-01 01:09:00,,0.0002215300128133522,,0.0003660909090909091,7.687909090909091,,,-0.024026654879732556,0.39718565233536834,0.0003971856523353684,77.38206460131569,0.07738206460131569,20.786690957414724,0.020786690957414727,0.0,0.0,0.9130798750614503,419.7818181818182,426.37579520946406,29.858619595926285,29.855833333333333,1.095556558437647,,,,,,,6.967499999999999,14.9
895,,0.1,,0.021880289294668023,0.07180833333333331,0.08316825,29.16375,31.701235696300603,2023-06-01 01:10:00,,0.00022243910372244304,,0.000367,7.706999999999999,,,-0.024065064365325527,0.3967914695986458,0.00039679146959864585,77.38363510614533,0.07738363510614533,20.785456809222183,0.020785456809222183,0.0,0.0,0.9092138280832747,426.6116666666667,426.39938235518434,29.856257636333655,29.834999999999997,1.0957789975413694,,,,,,,6.96,14.92
896,,0.1,,0.021833206673654047,0.07180833333333331,0.08333925,33.00888888888889,31.832001015559428,2023-06-01 01:11:00,,0.0003943557703891098,,0.0003679166666666667,7.72625,,,-0.023871468179968842,0.3963895065167964,0.0003963895065167964,77.38127376187052,0.07738127376187051,20.788219790306737,0.02078821979030674,0.0,0.000171,0.9146151593631282,427.11083333333335,426.4705274529993,29.85563187270029,29.85,1.0961733533117586,,,,,,,6.953333333333333,14.93
897,,0.1,,0.021788321221647953,0.07180833333333331,0.08385233333333333,30.650000000000002,31.713800914003485,2023-06-01 01:12:00,,0.0007373557703891098,,0.0003688333333333333,7.7455,,,-0.023655492345067208,0.3963727755479512,0.00039637277554795125,77.37815938672718,0.07737815938672718,20.790975046359147,0.02079097504635915,0.0,0.0005130833333333334,0.9210681774793578,424.435,426.2669747076994,29.853318685430256,29.8325,1.0969107090821477,,,,,,,6.95625,14.95
898,,0.1,,0.021751968972120617,0.07180833333333331,0.08385233333333333,32.2725,31.76967082260314,2023-06-01 01:13:00,,0.00022516637644971578,,0.0003697272727272727,7.7642727272727265,,,-0.02365661715063456,0.39632716132978835,0.00039632716132978837,77.37619777570634,0.07737619777570635,20.79035787662556,0.020790357876625563,0.0,0.0,0.9194877202270294,431.1972727272727,426.7600045096567,29.85215348355389,29.84166666666667,1.0971358754585974,,,,,,,6.966666666666666,14.97
899,,0.1,,0.021719527951266113,0.07180833333333331,0.08385233333333333,31.599999999999998,31.752703740342827,2023-06-01 01:14:00,,0.0002260224370557764,,0.00037058333333333333,7.78225,,,-0.02375851328269516,0.39610617703949275,0.00039610617703949273,77.37961457365604,0.07737961457365604,20.788343216782156,0.020788343216782156,0.0,0.0,0.914178749016498,424.23,426.50700405869105,29.850188135198497,29.8325,1.0973618978956532,,,,,,,6.9625,14.98
900,,0.1,,0.021654214027844502,0.07180833333333331,0.08385233333333333,30.125,31.589933366308543,2023-06-01 01:15:00,,0.00022685577038910977,,0.0003714166666666667,7.79975,,,-0.023812551071542867,0.39558145127438027,0.00039558145127438027,77.38319061648542,0.07738319061648542,20.78685126766042,0.020786851267660424,0.0,0.0,0.9093613684139168,431.1016666666667,426.9664703194886,29.849585988345318,29.844166666666666,1.0975887536660422,,,,,,,6.955555555555556,15.0
901,,0.1,,0.021611134383989247,0.07180833333333331,0.084365,35.70666666666667,32.00160669634435,2023-06-01 01:16:00,,0.000740439103722443,,0.0003723333333333333,7.819,,,-0.023688674105935018,0.39558694401552996,0.00039558694401553,77.38200710502163,0.07738200710502163,20.78810729756924,0.02078810729756924,0.0,0.0005126666666666667,0.9122981846660105,428.9116666666667,427.1609899542064,29.850794056177453,29.861666666666668,1.0983291927697647,,,,,,,6.952500000000001,15.02
902,,0.1,,0.02163077911577782,0.07180833333333331,0.08470683333333333,31.54625,31.956071026709918,2023-06-01 01:17:00,,0.000570439103722443,,0.00037316666666666667,7.836499999999999,,,-0.02373816166908889,0.396334054245985,0.00039633405424598507,77.38244175565605,0.07738244175565605,20.786826658937464,0.020786826658937465,0.0,0.0003418333333333333,0.9112238520114538,428.95166666666665,427.34005762545246,29.851987377832437,29.862727272727273,1.0988996318734872,,,,,,,6.963333333333334,15.03
