,set,qs,Yxs,qs_max,Ks,Ki,m_s,lag,rmse
134,44,2,0.48246876403825667,0.7024110427208154,18.334405372528913,10.776731286464845,0.10442704967998098,0.637846644839877,8.136
35,11,2,0.3872583268892977,0.3101196198203879,2.788793423050214,2.021841747281971,0.1991817943719263,0.5025295156159675,8.151
29,9,2,0.312112172579629,1.287403259033736,18.07313743573975,12.010114813806391,0.13096903359031517,0.1622485985241463,8.176
152,50,2,0.3190034721779164,0.9076852133971433,8.832276096613935,5.511532140078705,0.14670560121568918,0.9931829927833109,8.18
236,78,2,0.3775007183529006,0.3513656850750406,14.011207141810132,14.336935383323492,0.10373722547571806,0.12848046645919858,8.258
89,29,2,0.484244215370785,0.6270282120588266,11.686810579568766,15.667459695084663,0.15822382661925055,0.8938681577663101,8.291
167,55,2,0.40038560708578097,1.452457703113837,15.547300681537855,4.094775349611195,0.026737976245441386,0.9773483419679491,8.294
197,65,2,0.49746653590440626,0.2945870782007529,10.004651255162399,10.031524191043726,0.18986943818998137,0.4439036058528937,8.397
123,41,0,0.36430007001361486,0.26922936550831,15.007686531709924,15.333213002456027,0.17372826489681695,0.7052242650020967,8.423
124,41,1,0.36430007001361486,0.26922936550831,15.007686531709924,15.333213002456027,0.17372826489681695,0.7052242650020967,8.424
59,19,2,0.3846336217352591,0.4599490713196519,9.329533227520296,9.265584850384913,0.17758969331308713,0.7279595712673068,8.436
137,45,2,0.39146149400527247,0.4304530404029214,19.070699512408897,12.124226542922013,0.0685254203124487,0.24826945148051788,8.446
201,67,0,0.4546115874639294,0.24824871750480823,19.84341048930422,14.182485013777157,0.16884694180194457,0.917629450837617,8.451
202,67,1,0.4546115874639294,0.24824871750480823,19.84341048930422,14.182485013777157,0.16884694180194457,0.917629450837617,8.451
260,86,2,0.33397626910912015,1.0339766246058475,16.90523225709369,4.798660086444319,0.02574567082934053,0.8395645110321613,8.505
8,2,2,0.3533062769458666,0.20582426602116655,0.9200085709015379,0.38922141676489996,0.11845675093651323,0.2525927186670621,8.559
113,37,2,0.3094684104469968,0.6024884061523057,12.913607965727978,8.45699471421902,0.06132797839687611,0.5838248586201393,8.576
188,62,2,0.3559552865968429,0.6128070930857633,5.907492032751043,13.441520859411488,0.09382742803071133,0.9587897341609245,8.605
218,72,2,0.4474604525238846,0.643130481282511,6.714314684882055,16.918279182812686,0.021917269126846925,0.8007694736790857,8.612
48,16,0,0.3212893851717765,0.22362409996330285,3.793972669796373,10.982996804980193,0.03818416902167149,0.7310702823028555,8.677
49,16,1,0.3212893851717765,0.22362409996330285,3.793972669796373,10.982996804980193,0.03818416902167149,0.7310702823028555,8.678
176,58,2,0.477250182061765,0.23926228743972078,3.135609972678724,9.18778373904187,0.17081924188880282,0.6914559860082972,8.691
107,35,2,0.42089790278792805,0.524094616332147,12.207865566947964,14.644277672416054,0.05096231683689646,0.6555009346823006,8.698
