,set,mu,qs,mu_max,X_max,Yxs,m_s,rmse
21,21,1,3,0.21742413376989636,15.574325787391862,0.3745808140848261,0.9001058596084647,17.167
24,24,1,3,0.48772350813005216,17.6969629924167,0.38944468900571444,0.09344957915887059,17.69
0,0,1,3,0.31042546710341334,17.343877635103865,0.3505638246437053,0.03634318197769967,18.372
6,6,1,3,0.479936870195898,15.816768687341769,0.3129423328936524,0.7692034304410226,19.479
11,11,1,3,0.2860647428358783,18.262555998089304,0.41347569610999996,0.022819757799133825,19.637
41,41,1,3,0.4457459641434162,22.41862039582322,0.3072747320735402,0.5065216986162271,19.701
97,97,1,3,0.4532673943788075,22.948582594005035,0.4256196699887016,0.5224270622265589,19.841
20,20,1,3,0.2588779352583573,18.345232387024723,0.490309649404925,0.781788235534769,20.217
75,75,1,3,0.47113883230366355,24.24134840204806,0.3917929278730978,0.48635447243234325,20.27
32,32,1,3,0.2672262385008623,16.325707404684525,0.3239778274203384,0.8484198213367135,20.591
48,48,1,3,0.438084941405605,22.54284719163144,0.385743289494226,0.5588081873245389,21.161
22,22,1,3,0.37680563295871766,22.108673858981255,0.4538935985533892,0.6009833873272767,21.293
83,83,1,3,0.41530418457221585,19.847815044221097,0.32084252077033876,0.6620087192760257,21.861
51,51,1,3,0.31540672349034216,16.095632128761395,0.4342136140828424,0.9666333077403224,22.826
92,92,1,3,0.4776282874719464,18.142259244176472,0.39295860506858854,0.7931644974933924,22.973
50,50,1,3,0.3363755846101928,21.525157995601035,0.47344988011560957,0.7037450013417049,23.202
76,76,1,3,0.26595241454730445,17.77485722871971,0.38309292126205663,1.0037591906915155,23.725
78,78,1,3,0.30041792735305,23.05661757808288,0.36687958298159384,0.6710742863784308,23.783
2,2,1,3,0.2750690948104408,15.155488959769624,0.3141800899060177,1.2059888089235402,23.851
9,9,1,3,0.43649796408303143,21.893716851698066,0.3998439039406191,0.6940230941700352,23.977
62,62,1,3,0.3843664315783738,20.96704527814698,0.3376272401172862,0.7478444248014277,23.984
67,67,1,3,0.3996681512664816,22.204306219041015,0.44582173659602886,0.7133470419046404,24.008
72,72,1,3,0.3536878818140464,15.922999782331008,0.3960184205949599,1.1465763991513396,24.029
73,73,1,3,0.29803240384583235,18.607633021158094,0.3498911267752278,0.9628875819346434,24.031
85,85,1,3,0.28748248382050595,22.073465590889423,0.40477639238492097,0.832284448136724,24.324
53,53,1,3,0.48319489434935664,20.51637541088273,0.4338245566483159,0.8249630003683797,24.362
68,68,1,3,0.3962219043480997,17.209043615271963,0.36992166556299577,1.0882865527163024,24.428
4,4,1,3,0.372046613441906,17.542381778234205,0.49957324200291847,1.1222144416202289,24.491
44,44,1,3,0.33123006860042914,24.877869874244503,0.31088784131679376,0.6503196222276808,24.532
61,61,1,3,0.2731431473348166,23.561755829373055,0.37795076439271563,0.8001509944691949,24.568
42,42,1,3,0.22983675931532893,24.336375487397092,0.3272805531108697,0.8791693224040893,24.949
93,93,1,3,0.4952616931525082,20.06421014947066,0.3626292116466505,0.9428617406627917,25.088
