Date;Time;Temperature Output
May 30, 2023;6:39:56 PM;5,17
May 30, 2023;6:40:06 PM;5,33
May 30, 2023;6:40:11 PM;4,73
May 30, 2023;6:40:17 PM;5,25
May 30, 2023;6:40:31 PM;4,20
May 30, 2023;6:40:36 PM;4,21
May 30, 2023;6:40:51 PM;4,09
May 30, 2023;6:40:56 PM;3,69
May 30, 2023;6:41:11 PM;3,69
May 30, 2023;6:41:16 PM;3,45
May 30, 2023;6:41:21 PM;3,29
May 30, 2023;6:41:26 PM;2,66
May 30, 2023;6:41:36 PM;2,88
May 30, 2023;6:41:41 PM;3,12
May 30, 2023;6:41:51 PM;2,32
May 30, 2023;6:42:01 PM;2,81
May 30, 2023;6:42:06 PM;2,45
May 30, 2023;6:42:16 PM;2,09
May 30, 2023;6:43:56 PM;-0,32
May 30, 2023;6:44:01 PM;-0,35
May 30, 2023;6:44:06 PM;-0,93
May 30, 2023;6:44:21 PM;-0,84
May 30, 2023;6:44:26 PM;-1,14
May 30, 2023;6:44:37 PM;-1,39
May 30, 2023;6:44:51 PM;-2,60
May 30, 2023;6:44:56 PM;-3,17
May 30, 2023;6:45:06 PM;-2,94
May 30, 2023;6:45:16 PM;-3,05
May 30, 2023;6:45:21 PM;-2,90
May 30, 2023;6:45:32 PM;-3,26
May 30, 2023;6:45:51 PM;-3,44
May 30, 2023;6:45:56 PM;-3,64
May 30, 2023;6:46:01 PM;-3,43
May 30, 2023;6:46:06 PM;-3,85
May 30, 2023;6:46:16 PM;-3,43
May 30, 2023;6:46:21 PM;-3,97
May 30, 2023;6:46:31 PM;-4,05
May 30, 2023;6:46:41 PM;-3,47
May 30, 2023;6:46:46 PM;-4,25
May 30, 2023;6:46:51 PM;-4,21
May 30, 2023;6:47:11 PM;-4,08
May 30, 2023;6:47:26 PM;-3,57
May 30, 2023;6:47:31 PM;-3,79
May 30, 2023;6:47:36 PM;-3,99
May 30, 2023;6:47:41 PM;-3,52
May 30, 2023;6:47:46 PM;-3,73
May 30, 2023;6:47:56 PM;-3,33
May 30, 2023;6:48:01 PM;-3,20
May 30, 2023;6:48:06 PM;-3,55
May 30, 2023;6:48:16 PM;-2,61
May 30, 2023;6:48:21 PM;-3,25
May 30, 2023;6:48:26 PM;-3,22
May 30, 2023;6:48:31 PM;-3,82
May 30, 2023;6:48:36 PM;-3,64
May 30, 2023;6:48:41 PM;-3,33
May 30, 2023;6:48:47 PM;-3,02
May 30, 2023;6:48:56 PM;-3,40
May 30, 2023;6:49:06 PM;-2,60
May 30, 2023;6:49:21 PM;-2,69
May 30, 2023;6:49:26 PM;-2,40
May 30, 2023;6:49:31 PM;-3,13
May 30, 2023;6:49:41 PM;-2,69
May 30, 2023;6:49:51 PM;-2,17
May 30, 2023;6:49:56 PM;-2,39
May 30, 2023;6:50:01 PM;-2,72
May 30, 2023;6:50:11 PM;-2,31
May 30, 2023;6:50:16 PM;-2,16
May 30, 2023;6:50:26 PM;-2,17
May 30, 2023;6:50:31 PM;0,00
May 30, 2023;6:51:56 PM;0,63
