,set,mu,qs,mu_max,X_max,Ks,Ks_qs,Ki,Yxs,qs_max,m_s,lag,rmse
144,9,0,0,0.45,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,373.052
145,9,0,1,0.45,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,585.17
146,9,0,2,0.45,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,174.175
147,9,0,3,0.45,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,380.832
148,9,1,0,0.45,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,17.487
149,9,1,1,0.45,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,12.335
150,9,1,2,0.45,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,40.542
151,9,1,3,0.45,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,14.953
152,9,2,0,0.45,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,5.787
153,9,2,1,0.45,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,20.442
154,9,2,2,0.45,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,41.583
155,9,2,3,0.45,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,6.707
156,9,3,0,0.45,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,34.897
157,9,3,1,0.45,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,37.741
158,9,3,2,0.45,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,48.149
159,9,3,3,0.45,23.16,7.0,0.035,7.15,0.48,0.57,0.1,0.0057,35.08
